month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202009,9003,"hartford, ct",275050,0,0.0488,2862,-0.0155,-0.3145,40,-0.0476,-0.3333,1212,0.0306,-0.0381,64,1,2.2,548,0.1417,-0.5623,2,-0.3333,-0.8824,149.7832584,0.0063,0.0577,1855,-0.0091,0.006,333938,0.0025,0.0519,2864,-0.0158,-0.3168,0.0007,-0.0003,-0.0034
202009,34027,"morris, nj",598050,0.0222,0.1085,1766,-0.0216,-0.3425,39,0,-0.3858,976,0.0339,0.1091,48,2,5,376,0,-0.5369,8,0.3333,7,0,,,0,,,758354,0.0215,0.1336,1774,-0.0204,-0.3398,0.0045,0.0012,0.0042
202009,45057,"lancaster, sc",363680,0.0076,0.0832,201,-0.078,-0.5237,45,0.0714,-0.2623,132,0.0645,-0.2143,56,-0.1765,1.8,56,0.1667,-0.7544,191,-0.0205,0.0269,143.0137133,0.0164,0.1134,2507,-0.0238,0.0162,408507,0.02,0.1505,392,-0.0508,-0.3553,0.9502,0.0558,0.5095
202009,17063,"grundy, il",257497.5,-0.0281,0.0274,102,-0.0556,-0.4516,49.5,-0.1466,0.0532,48,-0.2,-0.4,0,,,36,0,-0.4375,153,-0.0129,0.5,117.8839286,0.0133,-0.0086,1899,-0.0089,-0.05,298797,-0.0415,0.0146,255,-0.0304,-0.1146,1.5,0.0648,0.9516
202009,48005,"angelina, tx",264550,0.0177,0.1344,212,-0.1017,-0.2715,97.5,0.0598,0.3356,48,-0.4,-0.4783,0,-1,,36,0.2857,-0.3077,158,-0.1319,0.2061,115.4299754,0.0645,0.2037,2151,-0.0032,0.0808,308281,-0.0028,0.0602,370,-0.1148,-0.1232,0.7453,-0.0259,0.2951
202009,47189,"wilson, tn",416500,0.016,0.0715,407,-0.121,-0.4447,28.5,0.0962,-0.1739,220,-0.3125,-0.4811,100,-0.1667,2.5714,52,-0.5517,-0.7719,225,-0.0175,0.1538,161.858647,0.0101,0.0509,2561,-0.0054,-0.0071,457234,0.0293,0.0468,632,-0.0867,-0.319,0.5528,0.0582,0.2868
202009,26073,"isabella, mi",192500,0.0997,0.1957,142,-0.0897,-0.5103,77.5,0.1567,-0.0549,36,-0.25,-0.3077,4,,,48,0.2,-0.2941,81,-0.0899,7.1,97.08013937,0.0224,0.0674,1943.5,0.0049,0.1456,235440,0.0627,0.2673,223,-0.0898,-0.2567,0.5704,-0.0001,0.5359
202009,18109,"morgan, in",249999.5,-0.0081,0.1245,104,-0.0459,-0.6414,49,0.0652,-0.1404,64,-0.2727,-0.3043,8,,,24,-0.25,-0.76,189,-0.069,-0.1674,121.0349481,0.0349,0.1889,2146.5,-0.0502,-0.0007,316077,-0.0295,0.1906,293,-0.0609,-0.4333,1.8173,-0.0451,1.0345
202009,17091,"kankakee, il",177000,0.0117,0.0599,203,-0.0425,-0.4988,53,0.0192,-0.269,92,-0.2581,-0.1786,0,,-1,52,-0.2353,-0.6176,231,-0.0648,0.4713,108.3336392,0.0334,0.0674,1680,0.0244,0.0356,208287,0.0338,0.0494,434,-0.0545,-0.2278,1.1379,-0.0272,0.7503
202009,48375,"potter, tx",218400,-0.0291,0.3043,188,-0.0208,-0.3605,50,0.0417,-0.0826,84,-0.0455,-0.2222,8,1,1,60,-0.0625,-0.2857,129,-0.0719,0.3871,106.2419086,-0.0165,0.1381,2043,-0.0183,0.15,327470,0.0122,0.1951,317,-0.0423,-0.1809,0.6862,-0.0378,0.3698
202009,22005,"ascension, la",290050,0.0213,0.055,413,-0.1002,-0.3241,70,0.129,-0.1083,156,0,0,16,-0.6667,1,92,-0.0417,-0.4651,376,0.033,12.4286,139.7154243,0.0084,0.04,2111,0.0159,0.02,334583,0.0195,0.0705,789,-0.0413,0.2347,0.9104,0.1174,0.8646
