date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2019-01-01,-5,-5,-17,-19,-19,6,-12,-10,8,356,1034,15,0.0,0.0,8.7,-17,68,2,32033
2019-01-02,-1,-1,-12,-13,-13,6,-8,-5,6,124,1032,11,0.0,0.0,8.7,-14,69,2,32033
2019-01-03,4,4,-13,-8,-8,6,-5,-2,5,235,1025,4,0.0,0.0,8.7,-11,72,2,32033
2019-01-04,6,6,-5,-6,-6,6,-2,1,8,190,1020,17,0.0,0.0,8.7,-10,60,2,32033
2019-01-05,4,4,-3,-6,-6,4,0,1,15,176,1014,27,1.7,0.6,8.7,-9,53,2,32033
2019-01-06,1,1,-4,-6,-6,4,-2,-2,12,227,1014,19,2.6,1.4,3.5,-5,73,1,32033
2019-01-07,3,3,-1,-4,-4,4,1,1,10,216,1021,19,2.0,0.3,5.2,-3,76,1,32033
2019-01-08,5,5,-4,-5,-5,6,0,1,9,122,1023,9,0.0,0.0,7.0,-4,75,1,32033
2019-01-09,6,6,0,-2,-2,6,3,4,11,180,1021,20,0.0,0.0,8.7,-3,67,2,32033
2019-01-10,5,5,-1,-2,-2,5,1,1,6,325,1022,8,1.9,1.2,8.7,-4,76,1,32033
2019-01-11,1,1,-9,-8,-8,6,-4,-2,6,97,1023,5,0.0,0.0,8.7,-9,71,2,32033
2019-01-12,2,2,-11,-8,-8,6,-4,-3,6,76,1023,6,0.0,0.0,8.7,-10,71,2,32033
2019-01-13,2,2,-13,-9,-9,6,-4,-3,6,84,1025,7,0.0,0.0,8.7,-11,72,2,32033
2019-01-14,2,2,-12,-10,-10,5,-5,-3,7,121,1024,10,0.3,0.1,8.7,-9,74,2,32033
2019-01-15,3,3,-3,-4,-4,3,0,0,9,192,1018,14,7.3,5.7,5.4,-3,82,1,32033
2019-01-16,3,3,-2,-3,-3,4,1,1,14,198,1020,23,1.2,0.3,3.7,-2,80,1,32033
2019-01-17,4,4,3,-2,-2,4,4,4,17,216,1014,27,23.3,5.0,3.7,0,78,1,32033
2019-01-18,1,1,-5,-6,-6,5,-2,-1,7,309,1028,7,2.4,0.7,8.7,-6,73,2,32033
2019-01-19,7,7,-1,0,0,6,2,4,4,266,1029,7,0.0,0.0,8.7,-4,75,2,32033
2019-01-20,6,6,0,-3,-3,6,1,4,12,196,1016,22,0.0,0.0,7.0,-4,73,1,32033
